State,Name,Party,Net Approval,State Partisan Lean,PARS
WV,Manchin,D,+22,R+36,+58
MT,Tester,D,+13,R+20,+33
OH,Brown,D,+8,R+12,+20
ME,King,I,+21,D+4,+17
GA,Warnock,D,+5,R+7,+12
VA,Warner,D,+17,D+5,+12
NH,Shaheen,D,+12,EVEN,+12
AZ,Kelly,D,+4,R+8,+12
GA,Ossoff,D,+4,R+7,+11
MN,Klobuchar,D,+12,D+2,+10
NH,Hassan,D,+10,EVEN,+10
CO,Bennet,D,+16,D+6,+10
AZ,Sinema,D,+2,R+8,+10
MN,Smith,D,+10,D+2,+8
PA,Casey,D,+5,R+3,+8
CO,Hickenlooper,D,+14,D+6,+8
FL,Rubio,R,+15,R+8,+7
DE,Carper,D,+21,D+14,+7
NM,Luján,D,+14,D+7,+7
NM,Heinrich,D,+14,D+7,+7
MI,Stabenow,D,+5,R+2,+7
MI,Peters,D,+5,R+2,+7
NV,Cortez Masto,D,+4,R+3,+7
SC,Scott,R,+25,R+19,+6
LA,Kennedy,R,+26,R+21,+5
DE,Coons,D,+19,D+14,+5
WI,Baldwin,D,+1,R+4,+5
FL,Scott,R,+12,R+8,+4
VA,Kaine,D,+9,D+5,+4
WA,Murray,D,+16,D+12,+4
WA,Cantwell,D,+16,D+12,+4
NV,Rosen,D,+1,R+3,+4
RI,Reed,D,+27,D+24,+3
SD,Rounds,R,+34,R+32,+2
VT,Sanders,I,+29,D+28,+1
OR,Wyden,D,+12,D+11,+1
OR,Merkley,D,+11,D+11,0
MD,Cardin,D,+26,D+26,0
VT,Leahy,D,+27,D+28,-1
NJ,Booker,D,+11,D+12,-1
TX,Cornyn,R,+11,R+12,-1
MT,Daines,R,+19,R+20,-1
CT,Murphy,D,+10,D+12,-2
IA,Grassley,R,+7,R+10,-3
MD,Van Hollen,D,+23,D+26,-3
TN,Hagerty,R,+26,R+29,-3
AK,Sullivan,R,+11,R+15,-4
IL,Duckworth,D,+9,D+13,-4
CA,Padilla,D,+21,D+25,-4
OH,Portman,R,+7,R+12,-5
MA,Markey,D,+27,D+33,-6
NC,Tillis,R,-1,R+5,-6
TX,Cruz,R,+6,R+12,-6
IL,Durbin,D,+7,D+13,-6
NY,Schumer,D,+13,D+20,-7
NY,Gillibrand,D,+13,D+20,-7
CT,Blumenthal,D,+5,D+12,-7
UT,Lee,R,+19,R+26,-7
IA,Ernst,R,+2,R+10,-8
NJ,Menendez,D,+4,D+12,-8
IN,Young,R,+12,R+20,-8
ND,Hoeven,R,+29,R+37,-8
AL,Shelby,R,+21,R+30,-9
NC,Burr,R,-4,R+5,-9
AR,Cotton,R,+23,R+32,-9
HI,Schatz,D,+22,D+32,-10
AR,Boozman,R,+22,R+32,-10
PA,Toomey,R,-7,R+3,-10
IN,Braun,R,+10,R+20,-10
RI,Whitehouse,D,+14,D+24,-10
TN,Blackburn,R,+19,R+29,-10
AL,Tuberville,R,+19,R+30,-11
WV,Moore Capito,R,+24,R+36,-12
KS,Moran,R,+9,R+21,-12
MO,Hawley,R,+8,R+21,-13
CA,Feinstein,D,+12,D+25,-13
MO,Blunt,R,+7,R+21,-14
MS,Wicker,R,+6,R+20,-14
AK,Murkowski,R,0,R+15,-15
OK,Lankford,R,+22,R+37,-15
MS,Hyde-Smith,R,+5,R+20,-15
SC,Graham,R,+3,R+19,-16
OK,Inhofe,R,+21,R+37,-16
ND,Cramer,R,+21,R+37,-16
LA,Cassidy,R,+3,R+21,-18
WI,Johnson,R,-14,R+4,-18
WY,Barrasso,R,+31,R+50,-19
NE,Fischer,R,+6,R+25,-19
KS,Marshall,R,+1,R+21,-20
KY,Paul,R,+7,R+27,-20
HI,Hirono,D,+10,D+32,-22
WY,Lummis,R,+28,R+50,-22
NE,Sasse,R,+3,R+25,-22
UT,Romney,R,+4,R+26,-22
MA,Warren,D,+8,D+33,-25
ID,Risch,R,+11,R+37,-26
ID,Crapo,R,+7,R+37,-30
KY,McConnell,R,-27,R+27,-54